製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,2,,,,,
計測開始時刻 ,2018/2/27 12:38,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
147,0.1005,0.0321,0.8676,-0.4563,,0.1005
148,0.0156,0.0707,0.8804,-0.4434,,0.0156
149,-0.0034,0.0321,0.8933,-0.4306,,0.0034
150,-0.0382,0.0321,0.8804,-0.4306,,0.0382
151,-0.0229,0.045,0.8804,-0.4434,,0.0229
152,-0.0199,0.0321,0.8676,-0.4434,,0.0199
153,0.0252,0.0321,0.8804,-0.4306,,0.0252
154,0.0906,0.045,0.8676,-0.4563,,0.0906
155,0.0795,0.0193,0.8933,-0.4691,,0.0795
156,0.1063,0.0193,0.8676,-0.4563,,0.1063
157,0.0872,0.0321,0.8804,-0.4563,,0.0872
158,0.0409,0.0321,0.8676,-0.4434,,0.0409
159,0.0416,0.045,0.8804,-0.4691,,0.0416
160,0.0482,0.0321,0.8804,-0.4434,,0.0482
161,0.0547,0.045,0.8676,-0.482,,0.0547
162,0.0582,0.045,0.8676,-0.4563,,0.0582
163,0.0748,0.0964,0.8676,-0.4306,,0.0748
164,0.0811,0.045,0.8676,-0.4691,,0.0811
165,0.0549,0.045,0.8933,-0.4434,,0.0549
166,0.0401,0.045,0.8804,-0.4691,,0.0401
167,0.0396,0.045,0.8804,-0.4563,,0.0396
168,0.0189,0.0321,0.8676,-0.4691,,0.0189
169,-0.0053,0.0578,0.8676,-0.4434,,0.0053
170,0.0045,0.045,0.8933,-0.4563,,0.0045
171,0.0203,0.045,0.8804,-0.4177,,0.0203
172,0.0632,0.0193,0.8804,-0.4434,,0.0632
173,0.0876,0.0321,0.8676,-0.4691,,0.0876
174,0.0975,0.0321,0.8933,-0.4434,,0.0975
175,0.0727,0.045,0.8804,-0.4563,,0.0727
176,0.0759,0.045,0.8933,-0.4691,,0.0759
177,0.0529,0.0321,0.8933,-0.4563,,0.0529
178,0.1324,0.0321,0.8933,-0.4434,,0.1324
179,0.1658,0.0321,0.8804,-0.4563,,0.1658
180,0.1572,0.045,0.8933,-0.4563,,0.1572
181,0.1339,0.045,0.8933,-0.4434,,0.1339
182,0.0872,0.0321,0.8933,-0.4691,,0.0872
