製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,
計測時ID ,6,,,,
計測開始時刻 ,2018/2/27 11:32,,,,
サンプリング周波数 ,1000,,,,
シーケンス数 ,20000,,,,
PGAゲイン ,x12 ,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,
コメント , ,,,,
ファイル保存形式, 演算データ,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,絶対値
155,-0.0118,0.0835,0.9961,0.0707,0.0118
156,0.0302,0.0964,1.0089,0.0193,0.0302
157,0.0704,0.0964,1.0089,0.0321,0.0704
158,0.1064,0.0964,1.0218,0.0578,0.1064
159,0.1147,0.0964,1.0089,0.0707,0.1147
160,0.1357,0.0835,1.0218,0.0321,0.1357
161,0.1116,0.0964,1.0218,0.0835,0.1116
162,0.1679,0.0964,1.0218,0.0707,0.1679
163,0.212,0.0835,1.0218,0.0835,0.212
164,0.2511,0.0964,1.0089,0.0707,0.2511
165,0.2433,0.0964,1.0218,0.0578,0.2433
166,0.1757,0.0964,0.9961,0.0578,0.1757
167,0.0979,0.0964,1.0089,0.0707,0.0979
168,0.0224,0.0964,1.0218,0.0578,0.0224
169,-0.0163,0.0835,1.0089,0.0578,0.0163
170,-0.0288,0.0835,1.0218,0.045,0.0288
171,-0.0269,0.0835,1.0089,0.0578,0.0269
172,0.0192,0.0835,1.0089,0.0835,0.0192
173,0.0535,0.0964,1.0089,0.0578,0.0535
174,0.0402,0.0964,1.0218,0.045,0.0402
175,0.0013,0.0964,1.0218,0.0707,0.0013
176,-0.0276,0.0707,1.0218,0.0578,0.0276
177,-0.0442,0.0835,1.0218,0.0578,0.0442
178,-0.0549,0.135,1.0218,0.0835,0.0549
179,-0.0622,0.0835,1.0218,0.0707,0.0622
180,-0.0021,0.0707,1.0218,0.0578,0.0021
181,0.0544,0.0835,1.0218,0.0578,0.0544
182,0.0631,0.0707,1.0089,0.0835,0.0631
183,0.0865,0.0707,1.0089,0.0578,0.0865
184,0.0671,0.0835,1.0346,0.0578,0.0671
185,0.1291,0.0578,1.0218,0.0707,0.1291
186,0.1734,0.0578,1.0218,0.0707,0.1734
187,0.183,0.0707,1.0346,0.0707,0.183
188,0.1217,0.0707,1.0089,0.0707,0.1217
189,0.1179,0.0835,1.0089,0.0578,0.1179
190,0.0812,0.0707,1.0218,0.0578,0.0812
191,0.1231,0.0707,1.0346,0.0707,0.1231
192,0.1888,0.0578,1.0218,0.0707,0.1888
193,0.2001,0.0707,1.0218,0.0578,0.2001
194,0.2065,0.0707,1.0346,0.0835,0.2065
195,0.1792,0.0835,1.0475,0.0578,0.1792
196,0.1285,0.0707,1.0346,0.0707,0.1285
197,0.0808,0.0707,1.0346,0.0835,0.0808
198,0.0522,0.0707,1.0218,0.045,0.0522
199,0.0253,0.0835,1.0346,0.0707,0.0253
200,0.0163,0.0707,1.0218,0.0707,0.0163
201,-0.0058,0.0578,1.0346,0.0578,0.0058
202,0.0173,0.0578,1.0089,0.0707,0.0173
203,0.0296,0.135,1.0089,0.045,0.0296
204,0.0255,0.0964,1.0089,0.0707,0.0255
205,-0.0456,0.0835,1.0218,0.0578,0.0456
206,-0.1233,0.0964,1.0218,0.0578,0.1233
207,-0.1518,0.0835,1.0218,0.0707,0.1518
208,-0.1192,0.0835,1.0089,0.0578,0.1192
209,-0.1434,0.0707,1.0089,0.0321,0.1434
210,-0.1393,0.0835,1.0218,0.0707,0.1393
211,-0.1434,0.0964,1.0218,0.0707,0.1434
212,-0.1288,0.0835,1.0089,0.0707,0.1288
213,-0.0486,0.0835,1.0218,0.0707,0.0486
214,-0.0034,0.0835,0.9961,0.045,0.0034
215,0.0609,0.0964,1.0218,0.0707,0.0609
216,0.076,0.0707,1.0089,0.0578,0.076
217,0.0874,0.0964,1.0218,0.0578,0.0874
218,0.0966,0.135,0.9961,0.0578,0.0966
219,0.0753,0.1092,1.0089,0.045,0.0753
220,0.0177,0.0964,1.0218,0.0578,0.0177
221,-0.025,0.0964,1.0089,0.0707,0.025
222,-0.016,0.0964,1.0089,0.045,0.016
223,0.0177,0.0964,1.0218,0.045,0.0177
224,0.0346,0.0835,1.0089,0.045,0.0346
225,0.0408,0.1092,1.0218,0.0321,0.0408
226,0.085,0.0964,1.0089,0.045,0.085
