製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,
計測時ID ,3 ,
計測開始時刻 ,18/02/27 11:47 ,
サンプリング周波数 ,1000 ,
シーケンス数 ,     20000 ,
PGAゲイン ,x12 ,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,
コメント , ,
ファイル保存形式, 演算データ,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z 
       174,   0.0604,  -0.6876,   0.5719,  -0.1864
       175,   0.0386,  -0.6876,   0.5848,  -0.1735
       176,   0.0497,  -0.6876,   0.5719,  -0.1864
       177,   0.0682,  -0.6876,   0.5848,  -0.1735
       178,   0.0407,  -0.6876,   0.5848,  -0.1478
       179,   0.0225,  -0.6748,   0.5848,  -0.1864
       180,   0.0119,  -0.6876,   0.5719,  -0.1735
       181,   0.0079,  -0.6876,   0.5848,  -0.1864
       182,   0.0256,  -0.7005,   0.5719,  -0.1864
       183,   0.0311,  -0.6876,   0.5848,  -0.1735
       184,   0.0423,  -0.7005,   0.5719,  -0.1735
       185,   0.0363,  -0.7005,   0.5848,  -0.1735
       186,   0.0272,  -0.6876,   0.5848,  -0.1992
       187,   0.0174,  -0.6876,   0.5719,  -0.1607
       188,   0.0171,  -0.6234,   0.5719,  -0.1864
       189,   0.0242,  -0.6748,   0.5848,  -0.1864
       190,   0.0467,  -0.6876,   0.5848,  -0.1864
       191,   0.0577,  -0.6876,   0.5719,  -0.1864
       192,   0.0372,  -0.7005,   0.5848,  -0.1735
       193,   0.0441,  -0.7005,   0.5976,  -0.1735
       194,   0.0505,  -0.6876,   0.5848,  -0.1864
       195,   0.0372,  -0.6748,   0.5848,  -0.1992
       196,   0.0361,  -0.6876,   0.5719,  -0.1864
       197,   0.0398,  -0.7005,   0.5719,  -0.1864
       198,   0.0324,  -0.6876,   0.5719,  -0.1992
       199,   0.0346,  -0.6876,   0.5719,  -0.1864
       200,   0.0429,  -0.7005,   0.5591,  -0.1735
       201,   0.0241,  -0.7005,   0.5591,  -0.1992
       202,   0.0268,  -0.7005,   0.5591,  -0.1992
       203,   0.0244,  -0.6491,   0.5591,  -0.1992
       204,   0.0263,  -0.6748,   0.5719,  -0.1735
       205,   0.0265,  -0.6876,   0.5591,  -0.1992
       206,   0.0420,  -0.6876,   0.5591,  -0.1864
