 1.670, 26.75, 18.88
 1.675, 26.82, 18.88
 1.680, 26.91, 18.87
 1.685, 27.00, 18.86
 1.690, 27.05, 18.86
 1.695, 27.14, 18.84
 1.700, 27.20, 18.81
 1.705, 27.27, 18.79
 1.710, 27.33, 18.77
 1.715, 27.38, 18.77
 1.720, 27.41, 18.74
 1.725, 27.46, 18.72
 1.730, 27.48, 18.72
 1.735, 27.51, 18.69
 1.740, 27.51, 18.68
 1.745, 27.52, 18.66
 1.750, 27.52, 18.66
 1.755, 27.51, 18.65
 1.760, 27.48, 18.64
 1.765, 27.45, 18.62
 1.770, 27.40, 18.62
 1.775, 27.37, 18.61
 1.780, 27.29, 18.60
 1.785, 27.24, 18.57
 1.790, 27.17, 18.56
 1.795, 27.09, 18.55
 1.800, 26.99, 18.53
 1.805, 26.91, 18.51
 1.810, 26.83, 18.50
 1.815, 26.72, 18.47
 1.820, 26.62, 18.44
 1.825, 26.50, 18.42
 1.830, 26.41, 18.42
 1.835, 26.29, 18.38
 1.840, 26.20, 18.35
 1.845, 26.08, 18.32
 1.850, 25.97, 18.29
 1.855, 25.86, 18.26
 1.860, 25.75, 18.23
 1.865, 25.64, 18.22
 1.870, 25.55, 18.16
 1.875, 25.45, 18.15
 1.880, 25.37, 18.11
 1.885, 25.27, 18.05
 1.890, 25.19, 18.03
 1.895, 25.10, 17.99
 1.900, 25.04, 17.95
 1.905, 24.98, 17.90
 1.910, 24.92, 17.86
 1.915, 24.86, 17.84
 1.920, 24.81, 17.76
 1.925, 24.79, 17.74
 1.930, 24.76, 17.69
 1.935, 24.72, 17.63
 1.940, 24.71, 17.59
 1.945, 24.70, 17.54
 1.950, 24.68, 17.50
 1.955, 24.70, 17.46
 1.960, 24.71, 17.42
 1.965, 24.74, 17.41
 1.970, 24.76, 17.36
 1.975, 24.79, 17.32
 1.980, 24.82, 17.29
 1.985, 24.87, 17.27
 1.990, 24.92, 17.24
 1.995, 24.96, 17.21
 2.000, 25.02, 17.20
 2.005, 25.07, 17.19
 2.010, 25.14, 17.18
 2.015, 25.22, 17.18
 2.020, 25.30, 17.18
 2.025, 25.38, 17.19
 2.030, 25.49, 17.19
 2.035, 25.55, 17.20
 2.040, 25.64, 17.20
 2.045, 25.74, 17.22
 2.050, 25.83, 17.23
 2.055, 25.93, 17.26
 2.060, 26.03, 17.29
 2.065, 26.12, 17.31
 2.070, 26.23, 17.34
 2.075, 26.33, 17.37
 2.080, 26.43, 17.39
 2.085, 26.53, 17.44
 2.090, 26.64, 17.46
 2.095, 26.75, 17.49
 2.100, 26.85, 17.55
 2.105, 26.98, 17.59
 2.110, 27.08, 17.64
 2.115, 27.21, 17.68
 2.120, 27.32, 17.73
 2.125, 27.43, 17.79
 2.130, 27.56, 17.84
 2.135, 27.68, 17.90
 2.140, 27.80, 17.94
 2.145, 27.92, 17.98
 2.150, 28.03, 18.05
 2.155, 28.18, 18.10
 2.160, 28.28, 18.19
 2.165, 28.40, 18.22
 2.170, 28.51, 18.32
 2.175, 28.63, 18.34
 2.180, 28.72, 18.43
 2.185, 28.83, 18.50
 2.190, 28.93, 18.55
 2.195, 29.04, 18.65
 2.200, 29.12, 18.68
 2.205, 29.23, 18.75
 2.210, 29.33, 18.83
 2.215, 29.43, 18.87
 2.220, 29.51, 18.92
 2.225, 29.62, 18.97
 2.230, 29.71, 19.03
 2.235, 29.82, 19.06
 2.240, 29.92, 19.08
 2.245, 30.02, 19.10
 2.250, 30.11, 19.11
 2.255, 30.23, 19.11
 2.260, 30.32, 19.12
 2.265, 30.42, 19.13
 2.270, 30.52, 19.13
 2.275, 30.59, 19.12
 2.280, 30.69, 19.13
 2.285, 30.76, 19.14
 2.290, 30.81, 19.15
 2.295, 30.86, 19.18
 2.300, 30.89, 19.19
 2.305, 30.90, 19.20
 2.310, 30.92, 19.21
 2.315, 30.92, 19.22
 2.320, 30.90, 19.24
 2.325, 30.90, 19.25
 2.330, 30.85, 19.29
 2.335, 30.83, 19.28
 2.340, 30.78, 19.29
 2.345, 30.73, 19.30
 2.350, 30.68, 19.29
 2.355, 30.62, 19.30
 2.360, 30.52, 19.30
 2.365, 30.46, 19.31
 2.370, 30.37, 19.32
 2.375, 30.26, 19.33
 2.380, 30.15, 19.33
 2.385, 30.02, 19.37
 2.390, 29.91, 19.40
 2.395, 29.77, 19.42
 2.400, 29.64, 19.44
 2.405, 29.49, 19.47
 2.410, 29.34, 19.51
 2.415, 29.19, 19.53
 2.420, 29.03, 19.56
 2.425, 28.87, 19.59
 2.430, 28.72, 19.64
 2.435, 28.55, 19.68
 2.440, 28.37, 19.69
 2.445, 28.21, 19.73
 2.450, 28.04, 19.77
 2.455, 27.87, 19.81
 2.460, 27.70, 19.84
 2.465, 27.55, 19.89
 2.470, 27.37, 19.91
 2.475, 27.20, 19.95
 2.480, 27.04, 20.01
 2.485, 26.86, 20.03
 2.490, 26.70, 20.05
 2.495, 26.55, 20.11
 2.500, 26.38, 20.14
 2.505, 26.23, 20.15
 2.510, 26.06, 20.20
 2.515, 25.95, 20.23
 2.520, 25.80, 20.24
 2.525, 25.63, 20.26
 2.530, 25.51, 20.31
 2.535, 25.38, 20.33
 2.540, 25.25, 20.34
 2.545, 25.13, 20.34
 2.550, 25.02, 20.36
 2.555, 24.89, 20.39
 2.560, 24.80, 20.41
 2.565, 24.68, 20.43
 2.570, 24.57, 20.43
 2.575, 24.50, 20.44
 2.580, 24.41, 20.46
 2.585, 24.33, 20.45
 2.590, 24.25, 20.47
 2.595, 24.18, 20.47
 2.600, 24.11, 20.48
 2.605, 24.03, 20.48
 2.610, 23.97, 20.49
 2.615, 23.91, 20.50
 2.620, 23.85, 20.50
 2.625, 23.80, 20.52
 2.630, 23.74, 20.52
 2.635, 23.70, 20.53
 2.640, 23.67, 20.55
 2.645, 23.62, 20.56
 2.650, 23.60, 20.58
 2.655, 23.59, 20.59
 2.660, 23.56, 20.61
 2.665, 23.53, 20.61
 2.670, 23.53, 20.63
 2.675, 23.57, 20.63
 2.680, 23.59, 20.66
 2.685, 23.59, 20.67
 2.690, 23.61, 20.67
 2.695, 23.64, 20.70
 2.700, 23.65, 20.72
 2.705, 23.70, 20.71
 2.710, 23.74, 20.73
 2.715, 23.78, 20.75
 2.720, 23.84, 20.74
 2.725, 23.89, 20.75
 2.730, 23.94, 20.76
 2.735, 24.00, 20.76
 2.740, 24.05, 20.78
 2.745, 24.12, 20.78
 2.750, 24.16, 20.80
 2.755, 24.26, 20.79
 2.760, 24.30, 20.80
 2.765, 24.39, 20.81
 2.770, 24.48, 20.82
 2.775, 24.52, 20.83
 2.780, 24.60, 20.83
 2.785, 24.70, 20.83
 2.790, 24.78, 20.86
 2.795, 24.84, 20.86
 2.800, 24.92, 20.83
 2.805, 25.01, 20.85
 2.810, 25.06, 20.84
 2.815, 25.14, 20.84
 2.820, 25.15, 20.83
 2.825, 25.23, 20.83
 2.830, 25.26, 20.81
 2.835, 25.26, 20.80
 2.840, 25.29, 20.79
 2.845, 25.28, 20.79
 2.850, 25.27, 20.79
 2.855, 25.25, 20.77
