製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,7,,,,,
計測開始時刻 ,2018/2/27 12:23,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
379,-0.0475,0.3149,0.7904,-0.4948,,0.0475
380,-0.047,0.3277,0.7904,-0.482,,0.047
381,-0.0283,0.302,0.8033,-0.5077,,0.0283
382,-0.0186,0.3277,0.8033,-0.4948,,0.0186
383,-0.025,0.3149,0.7904,-0.4691,,0.025
384,-0.0343,0.3149,0.7904,-0.4948,,0.0343
385,-0.025,0.3277,0.7904,-0.4948,,0.025
386,-0.03,0.3277,0.7904,-0.4948,,0.03
387,-0.0335,0.3149,0.7904,-0.482,,0.0335
388,-0.0155,0.302,0.7904,-0.482,,0.0155
389,-0.0284,0.302,0.8033,-0.482,,0.0284
390,-0.0313,0.3277,0.8033,-0.5077,,0.0313
391,-0.0051,0.3277,0.7904,-0.4563,,0.0051
392,-0.0254,0.3149,0.7904,-0.4948,,0.0254
393,-0.0138,0.3149,0.7904,-0.482,,0.0138
394,-0.0316,0.3277,0.7904,-0.4948,,0.0316
395,-0.064,0.3406,0.7904,-0.4691,,0.064
396,-0.0499,0.3277,0.7904,-0.482,,0.0499
397,-0.0544,0.3149,0.7904,-0.5077,,0.0544
398,-0.0308,0.3277,0.8033,-0.4948,,0.0308
399,-0.0376,0.3277,0.7904,-0.4948,,0.0376
400,-0.05,0.3277,0.7776,-0.4563,,0.05
401,-0.0534,0.3406,0.7904,-0.4691,,0.0534
402,-0.0367,0.3406,0.7904,-0.4948,,0.0367
403,0.0177,0.392,0.8033,-0.4948,,0.0177
404,0.0409,0.3534,0.7904,-0.482,,0.0409
405,0.0327,0.3534,0.8033,-0.4691,,0.0327
406,0.022,0.3406,0.7904,-0.4948,,0.022
407,0.0151,0.3534,0.7904,-0.4691,,0.0151
408,0.0007,0.3534,0.7904,-0.4948,,0.0007
409,-0.0389,0.3406,0.7904,-0.482,,0.0389
410,-0.072,0.3534,0.7904,-0.4948,,0.072
411,-0.0819,0.3277,0.8033,-0.4563,,0.0819
