製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,2,,,,,
計測開始時刻 ,2018/2/27 11:09,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,EMG絶対値
184,0.0858,0.0321,0.9061,-0.2378,,0.0858
185,0.0713,0.0193,0.8933,-0.2378,,0.0713
186,0.0375,0.0321,0.8933,-0.2249,,0.0375
187,-0.0146,0.045,0.8933,-0.2378,,0.0146
188,-0.0115,0.0835,0.8933,-0.2378,,0.0115
189,0.028,0.045,0.9061,-0.2506,,0.028
190,0.0371,0.045,0.8933,-0.2378,,0.0371
191,0.0525,0.0321,0.9061,-0.2378,,0.0525
192,0.0071,0.0321,0.9061,-0.2249,,0.0071
193,-0.0089,0.0321,0.9061,-0.2506,,0.0089
194,0.0702,0.045,0.9061,-0.2635,,0.0702
195,0.0921,0.045,0.8933,-0.2378,,0.0921
196,0.0921,0.045,0.8933,-0.2378,,0.0921
197,0.1233,0.045,0.8933,-0.2506,,0.1233
198,0.1059,0.0321,0.9061,-0.2635,,0.1059
199,0.0059,0.0321,0.919,-0.2635,,0.0059
200,-0.0547,0.0193,0.9061,-0.2121,,0.0547
201,-0.1303,0.0321,0.8933,-0.2506,,0.1303
202,-0.1175,0.045,0.9061,-0.2635,,0.1175
203,-0.0881,0.045,0.8933,-0.2763,,0.0881
204,-0.0563,0.045,0.8933,-0.2635,,0.0563
205,0.0215,0.0321,0.8933,-0.2635,,0.0215
206,0.0453,0.0193,0.9061,-0.2635,,0.0453
207,0.0467,0.0321,0.9061,-0.2506,,0.0467
208,0.1437,0.0321,0.9061,-0.2635,,0.1437
209,0.2042,0.045,0.919,-0.2635,,0.2042
210,0.1993,0.0321,0.9061,-0.2378,,0.1993
211,0.2076,0.0321,0.8933,-0.2635,,0.2076
212,0.2317,0.045,0.8933,-0.2378,,0.2317
213,0.2167,0.0321,0.8933,-0.2635,,0.2167
214,0.1815,0.0193,0.8933,-0.2763,,0.1815
215,0.1036,0.0193,0.9061,-0.2506,,0.1036
216,0.0858,0.0193,0.9061,-0.2506,,0.0858
217,0.05,0.0321,0.919,-0.2506,,0.05
218,0.0146,0.0707,0.9061,-0.2378,,0.0146
219,0.0059,0.0321,0.8933,-0.2763,,0.0059
220,-0.0356,0.0321,0.8933,-0.2378,,0.0356
221,-0.0535,0.0193,0.9061,-0.2506,,0.0535
222,-0.0252,0.0193,0.9061,-0.2249,,0.0252
223,-0.02,0.0193,0.9061,-0.2378,,0.02
224,0.0265,0.0321,0.919,-0.2378,,0.0265
225,-0.0045,0.0321,0.9061,-0.2378,,0.0045
226,0.0144,0.0321,0.8933,-0.2378,,0.0144
227,0.0525,0.0321,0.8933,-0.2249,,0.0525
228,0.0921,0.0321,0.8804,-0.2249,,0.0921
229,0.1373,0.0321,0.8933,-0.2506,,0.1373
230,0.1266,0.0321,0.9061,-0.2378,,0.1266
231,0.0995,0.0193,0.9061,-0.2249,,0.0995
232,0.1006,0.0321,0.9061,-0.2506,,0.1006
233,0.0766,0.0707,0.8933,-0.2378,,0.0766
234,0.0214,0.045,0.8933,-0.2506,,0.0214
235,-0.0555,0.045,0.8933,-0.2635,,0.0555
236,-0.0708,0.0321,0.8933,-0.2506,,0.0708
237,-0.0676,0.045,0.9061,-0.2378,,0.0676
238,0.0116,0.045,0.8933,-0.2249,,0.0116
239,0.0606,0.0321,0.8933,-0.2249,,0.0606
240,0.1109,0.045,0.919,-0.2506,,0.1109
241,0.1406,0.045,0.8804,-0.2378,,0.1406
242,0.1148,0.045,0.8933,-0.2506,,0.1148
243,0.0899,0.0321,0.8933,-0.2378,,0.0899
244,0.0817,0.045,0.9061,-0.2506,,0.0817
245,0.0888,0.0193,0.8933,-0.2635,,0.0888
246,0.0705,0.0193,0.9061,-0.2121,,0.0705
