製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,
計測時ID ,3,,,,
計測開始時刻 ,2018/2/27 12:10,,,,
サンプリング周波数 ,1000,,,,
シーケンス数 ,20000,,,,
PGAゲイン ,x12 ,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,
コメント , ,,,,
ファイル保存形式, 演算データ,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,
224,0.0042,-0.6234,0.6234,0.0321,0.0042
225,0.0179,-0.6234,0.6234,0.0707,0.0179
226,0.0122,-0.6105,0.6234,0.0707,0.0122
227,0.0108,-0.6105,0.6234,0.0578,0.0108
228,0.0013,-0.5976,0.6362,0.0707,0.0013
229,-0.0004,-0.6234,0.6362,0.0707,0.0004
230,-0.0019,-0.6105,0.6362,0.0707,0.0019
231,0.0142,-0.6105,0.6362,0.0578,0.0142
232,0.0201,-0.6105,0.6362,0.0835,0.0201
233,0.0346,-0.6234,0.6362,0.0707,0.0346
234,0.0422,-0.6105,0.6105,0.0578,0.0422
235,0.0496,-0.6234,0.6105,0.0707,0.0496
236,0.0368,-0.6105,0.6234,0.0835,0.0368
237,0.051,-0.6105,0.6234,0.0707,0.051
238,0.0362,-0.6234,0.6234,0.0835,0.0362
239,0.0398,-0.6234,0.6234,0.0835,0.0398
240,0.0287,-0.6234,0.6234,0.0707,0.0287
241,0.0382,-0.6234,0.6234,0.0835,0.0382
242,0.0478,-0.6105,0.6362,0.0707,0.0478
243,0.0431,-0.6105,0.6362,0.0578,0.0431
244,0.0345,-0.6234,0.6234,0.0578,0.0345
245,0.0236,-0.6234,0.6234,0.0835,0.0236
246,0.0302,-0.6234,0.6362,0.0707,0.0302
247,0.024,-0.6234,0.6362,0.0578,0.024
248,0.0107,-0.6234,0.6234,0.0707,0.0107
249,0.0252,-0.5976,0.6362,0.0578,0.0252
250,0.0094,-0.6105,0.6234,0.0835,0.0094
251,0.036,-0.6105,0.6362,0.0578,0.036
252,0.0116,-0.6105,0.6234,0.0578,0.0116
253,0.0147,-0.6234,0.6362,0.0707,0.0147
254,0.0085,-0.6234,0.6362,0.0835,0.0085
255,0.0126,-0.6105,0.6362,0.0578,0.0126
256,0.0316,-0.6234,0.6234,0.0578,0.0316
257,0.0346,-0.6105,0.6234,0.0707,0.0346
258,0.0602,-0.6105,0.6362,0.0835,0.0602
259,0.0349,-0.6105,0.6234,0.0578,0.0349
260,0.0281,-0.6234,0.6362,0.0835,0.0281
261,0.0224,-0.6105,0.6362,0.0835,0.0224
262,0.044,-0.6105,0.6362,0.0835,0.044
263,0.0351,-0.6105,0.6234,0.0707,0.0351
264,0.0382,-0.5976,0.6234,0.0707,0.0382
265,0.0396,-0.5719,0.6105,0.045,0.0396
266,0.0344,-0.5976,0.6362,0.0707,0.0344
267,0.0375,-0.6105,0.6234,0.0707,0.0375
268,0.0332,-0.6105,0.6234,0.0707,0.0332
269,0.0248,-0.6234,0.6234,0.0835,0.0248
270,0.0213,-0.6105,0.6362,0.0578,0.0213
271,0.0361,-0.6105,0.6234,0.0707,0.0361
272,0.0292,-0.6105,0.6362,0.0578,0.0292
273,0.0354,-0.5976,0.6362,0.0964,0.0354
274,0.0321,-0.6105,0.6362,0.0835,0.0321
275,0.0157,-0.6105,0.6362,0.0707,0.0157
276,0.0104,-0.5976,0.6362,0.0835,0.0104
277,0.0291,-0.6234,0.6362,0.0835,0.0291
278,0.0219,-0.6105,0.6362,0.0707,0.0219
279,0.0257,-0.5848,0.6234,0.0835,0.0257
280,0.0184,-0.6105,0.6234,0.0835,0.0184
281,0.0212,-0.6105,0.6362,0.0707,0.0212
282,0.0272,-0.6105,0.6234,0.0707,0.0272
283,0.0236,-0.6105,0.6234,0.0835,0.0236
284,0.0256,-0.6105,0.6362,0.0707,0.0256
285,0.0224,-0.6105,0.6362,0.0578,0.0224
286,0.0308,-0.6234,0.6362,0.0578,0.0308
287,0.0281,-0.6234,0.6234,0.0578,0.0281
288,0.028,-0.5591,0.6362,0.0835,0.028
289,0.0251,-0.6105,0.6105,0.0578,0.0251
290,0.019,-0.6105,0.6105,0.0578,0.019
291,0.0367,-0.6105,0.6362,0.0707,0.0367
292,0.0234,-0.6105,0.6234,0.0964,0.0234
293,-0.0032,-0.6105,0.6234,0.0835,0.0032
294,0.0163,-0.6105,0.6362,0.0835,0.0163
295,0.0292,-0.6105,0.6234,0.0835,0.0292
296,0.0431,-0.6105,0.6234,0.0835,0.0431
297,0.0384,-0.6234,0.6362,0.0964,0.0384
298,0.0305,-0.6105,0.6234,0.0835,0.0305
299,0.0239,-0.6105,0.6362,0.0707,0.0239
300,0.0171,-0.6105,0.6362,0.0964,0.0171
301,0.0311,-0.6234,0.6234,0.045,0.0311
302,0.0398,-0.6234,0.6105,0.0707,0.0398
303,0.0193,-0.5462,0.6234,0.0707,0.0193
304,0.0171,-0.5976,0.6105,0.0835,0.0171
305,0.0193,-0.6105,0.6362,0.0578,0.0193
306,0.012,-0.6105,0.6234,0.0707,0.012
307,0.0086,-0.6105,0.6234,0.0835,0.0086
308,-0.0097,-0.6105,0.6362,0.0835,0.0097
309,0.0141,-0.6105,0.6362,0.0964,0.0141
310,0.0148,-0.6105,0.6234,0.0707,0.0148
311,0.0122,-0.6105,0.6234,0.0707,0.0122
312,-0.0034,-0.6105,0.6234,0.0707,0.0034
313,-0.0001,-0.5976,0.6234,0.0707,0.0001
314,-0.0023,-0.6105,0.6234,0.0835,0.0023
315,-0.0067,-0.6234,0.6234,0.0707,0.0067
316,0.0086,-0.6105,0.6362,0.0578,0.0086
317,0.0188,-0.6105,0.6234,0.0707,0.0188
318,0.0239,-0.6234,0.6105,0.0707,0.0239
319,0.009,-0.5976,0.6362,0.0835,0.009
320,0.0198,-0.6234,0.6234,0.045,0.0198
321,0.0051,-0.6105,0.6234,0.0578,0.0051
322,0.0207,-0.6105,0.6362,0.0578,0.0207
323,0.0024,-0.6105,0.6362,0.0835,0.0024
324,0.0015,-0.6105,0.6491,0.0707,0.0015
325,-0.0025,-0.6234,0.6491,0.0707,0.0025
326,0.0051,-0.6105,0.6362,0.0707,0.0051
327,-0.0023,-0.6234,0.6234,0.045,0.0023
328,0.0083,-0.6234,0.6234,0.0578,0.0083
329,0.0043,-0.6105,0.6234,0.0707,0.0043
330,0.008,-0.6105,0.6234,0.0835,0.008
331,0.0024,-0.6234,0.6234,0.0707,0.0024
332,0.0034,-0.6234,0.6234,0.045,0.0034
333,0.0266,-0.5848,0.6234,0.0707,0.0266
334,0.0532,-0.6234,0.6234,0.0578,0.0532
335,0.0355,-0.6105,0.6234,0.0578,0.0355
336,0.0345,-0.6105,0.6362,0.0578,0.0345
