製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,
計測時ID ,3,,,,
計測開始時刻 ,2018/2/27 12:36,,,,
サンプリング周波数 ,1000,,,,
シーケンス数 ,20000,,,,
PGAゲイン ,x12 ,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,
コメント , ,,,,
ファイル保存形式, 演算データ,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,
153,0.0534,-0.3663,0.7519,0.2378,0.0534
154,0.0217,-0.3792,0.7519,0.2378,0.0217
155,0.0511,-0.3663,0.7519,0.2249,0.0511
156,0.0475,-0.3663,0.739,0.2249,0.0475
157,0.0554,-0.3534,0.739,0.2121,0.0554
158,0.049,-0.3534,0.739,0.2249,0.049
159,0.036,-0.3534,0.7519,0.1992,0.036
160,0.0151,-0.3534,0.7519,0.2121,0.0151
161,0.022,-0.3663,0.739,0.2249,0.022
162,0.0382,-0.3406,0.7519,0.1992,0.0382
163,0.0256,-0.3534,0.7519,0.2249,0.0256
164,0.0174,-0.3534,0.7647,0.2249,0.0174
165,0.0134,-0.3534,0.739,0.2121,0.0134
166,-0.0042,-0.3534,0.7519,0.2249,0.0042
167,0.0267,-0.3663,0.739,0.2249,0.0267
168,0.0311,-0.3406,0.7519,0.2249,0.0311
169,0.0393,-0.3534,0.739,0.2121,0.0393
170,0.0499,-0.3534,0.739,0.2249,0.0499
171,0.0211,-0.3663,0.7519,0.2121,0.0211
172,0.0285,-0.3534,0.7519,0.2249,0.0285
173,0.028,-0.3406,0.7519,0.1992,0.028
174,0.0246,-0.3534,0.739,0.2121,0.0246
175,0.0248,-0.3534,0.739,0.2249,0.0248
176,0.0303,-0.3663,0.739,0.2121,0.0303
177,0.0265,-0.3792,0.7647,0.2121,0.0265
178,0.0373,-0.3663,0.7519,0.2121,0.0373
179,0.0468,-0.3406,0.739,0.2378,0.0468
180,0.0166,-0.3663,0.739,0.2121,0.0166
181,0.025,-0.3663,0.739,0.1864,0.025
182,0.0555,-0.3663,0.7519,0.2121,0.0555
183,0.0441,-0.3663,0.7519,0.2121,0.0441
184,0.0473,-0.3663,0.7519,0.2249,0.0473
185,0.0127,-0.3663,0.739,0.1992,0.0127
186,0.0133,-0.3792,0.739,0.2378,0.0133
187,0.0182,-0.3663,0.739,0.1992,0.0182
188,0.0026,-0.2892,0.739,0.2121,0.0026
189,0.0325,-0.3534,0.7262,0.2121,0.0325
190,0.0119,-0.3663,0.739,0.2121,0.0119
191,0.0317,-0.3792,0.7519,0.2121,0.0317
192,0.0214,-0.3663,0.7519,0.2121,0.0214
193,0.0343,-0.3663,0.7647,0.2249,0.0343
194,0.0455,-0.3534,0.7519,0.2121,0.0455
195,0.0347,-0.3663,0.7519,0.2121,0.0347
196,0.009,-0.3534,0.7519,0.1864,0.009
197,0.0243,-0.3663,0.739,0.2121,0.0243
198,0.0543,-0.3663,0.739,0.2121,0.0543
199,0.027,-0.3534,0.7519,0.2121,0.027
200,0.0296,-0.3534,0.7519,0.2121,0.0296
201,0.0549,-0.3792,0.739,0.2121,0.0549
202,0.0351,-0.3663,0.739,0.2249,0.0351
203,0.0104,-0.3792,0.7519,0.2121,0.0104
204,0.0349,-0.3406,0.7519,0.1864,0.0349
205,0.0434,-0.3534,0.739,0.2249,0.0434
206,0.0331,-0.3663,0.739,0.2249,0.0331
207,0.0324,-0.3663,0.739,0.2249,0.0324
208,0.0373,-0.3663,0.7519,0.2378,0.0373
209,0.0004,-0.3663,0.7519,0.2249,0.0004
210,-0.0109,-0.3663,0.739,0.2121,0.0109
211,0.047,-0.3663,0.739,0.2249,0.047
212,0.0512,-0.3534,0.739,0.2249,0.0512
213,0.0435,-0.3663,0.739,0.2121,0.0435
214,0.0122,-0.3663,0.739,0.2121,0.0122
215,0.0407,-0.3663,0.7519,0.2249,0.0407
216,0.0346,-0.3792,0.7262,0.2249,0.0346
217,0.0343,-0.3663,0.7262,0.2121,0.0343
218,0.053,-0.3277,0.7262,0.2249,0.053
219,0.0245,-0.3534,0.7262,0.2121,0.0245
220,0.0576,-0.3663,0.739,0.2121,0.0576
221,-0.0049,-0.3663,0.7262,0.2249,0.0049
222,0.0086,-0.3792,0.7262,0.2378,0.0086
223,0.024,-0.3663,0.739,0.2378,0.024
224,0.023,-0.3792,0.739,0.2121,0.023
225,-0.0056,-0.3663,0.7519,0.2378,0.0056
226,0.0133,-0.3663,0.7519,0.2249,0.0133
227,0.0261,-0.3406,0.739,0.2121,0.0261
228,0.0361,-0.3663,0.739,0.2249,0.0361
229,0.0083,-0.3663,0.7262,0.2249,0.0083
230,0.0288,-0.3663,0.739,0.2121,0.0288
231,0.0255,-0.3792,0.739,0.2249,0.0255
232,0.0275,-0.3792,0.739,0.2121,0.0275
233,0.0555,-0.3663,0.7262,0.2249,0.0555
234,0.0239,-0.3534,0.7262,0.2249,0.0239
235,0.0363,-0.3663,0.739,0.2121,0.0363
236,0.044,-0.3534,0.739,0.2249,0.044
237,0.0533,-0.3534,0.739,0.2121,0.0533
238,0.0189,-0.3663,0.739,0.2249,0.0189
239,0.0199,-0.3663,0.739,0.2506,0.0199
240,0.0229,-0.3534,0.7519,0.2249,0.0229
241,0.036,-0.3534,0.7519,0.2249,0.036
242,0.0518,-0.3534,0.7262,0.2121,0.0518
243,0.0319,-0.3534,0.7262,0.2249,0.0319
244,0.0199,-0.3534,0.739,0.2249,0.0199
245,0.0352,-0.3534,0.739,0.2249,0.0352
246,0.0212,-0.3534,0.739,0.2249,0.0212
247,0.018,-0.3663,0.739,0.2249,0.018
248,0.0365,-0.3663,0.739,0.1992,0.0365
249,-0.0097,-0.3406,0.739,0.1992,0.0097
250,0.029,-0.3534,0.739,0.2249,0.029
251,0.0245,-0.3534,0.739,0.2121,0.0245
252,0.0295,-0.3534,0.7262,0.2249,0.0295
253,0.021,-0.3663,0.739,0.2249,0.021
254,0.0266,-0.3534,0.7519,0.2378,0.0266
255,0.0334,-0.3406,0.7519,0.2249,0.0334
256,0.032,-0.3534,0.7519,0.2378,0.032
257,0.0584,-0.3406,0.7519,0.2249,0.0584
258,0.038,-0.3534,0.739,0.2249,0.038
259,0.0285,-0.3534,0.739,0.1992,0.0285
260,0.0097,-0.3534,0.739,0.2249,0.0097
261,0.0188,-0.3534,0.7262,0.2121,0.0188
262,0.0123,-0.3534,0.739,0.2249,0.0123
263,0.0151,-0.3663,0.739,0.1992,0.0151
264,0.0591,-0.3149,0.739,0.2121,0.0591
265,0.0224,-0.3534,0.7519,0.2378,0.0224
266,0.0312,-0.3406,0.739,0.2121,0.0312
267,0.0182,-0.3406,0.7262,0.2121,0.0182
268,0.016,-0.3406,0.7262,0.2121,0.016
269,0.0444,-0.3534,0.739,0.2249,0.0444
270,0.0218,-0.3663,0.739,0.2249,0.0218
271,0.0263,-0.3534,0.7519,0.2378,0.0263
272,0.0353,-0.3534,0.7519,0.2121,0.0353
273,0.025,-0.3534,0.739,0.2249,0.025
274,0.0404,-0.3534,0.739,0.2249,0.0404
275,0.0567,-0.3534,0.739,0.2249,0.0567
276,0.0182,-0.3663,0.739,0.2378,0.0182
277,0.0376,-0.3534,0.739,0.2378,0.0376
278,0.0379,-0.3792,0.739,0.2249,0.0379
279,0.0152,-0.3663,0.739,0.2378,0.0152
280,0.0255,-0.3534,0.739,0.1992,0.0255
281,0.009,-0.3663,0.739,0.2378,0.009
282,0.0239,-0.3534,0.739,0.2249,0.0239
283,0.027,-0.3534,0.739,0.2121,0.027
284,0.0362,-0.3663,0.7519,0.2249,0.0362
285,0.0345,-0.3792,0.7519,0.2378,0.0345
286,0.0499,-0.3663,0.739,0.2249,0.0499
287,0.0267,-0.3534,0.7519,0.2249,0.0267
288,0.0474,-0.3792,0.739,0.2506,0.0474
289,0.0494,-0.3534,0.739,0.2121,0.0494
290,0.0242,-0.3534,0.739,0.2249,0.0242
291,0.0455,-0.3534,0.739,0.1864,0.0455
292,0.0246,-0.3663,0.7519,0.1992,0.0246
293,0.032,-0.3792,0.7262,0.2249,0.032
294,0.0491,-0.3792,0.7519,0.1992,0.0491
295,0.039,-0.3534,0.739,0.2249,0.039
296,0.0492,-0.3663,0.739,0.2121,0.0492
297,0.048,-0.3534,0.739,0.2121,0.048
298,0.024,-0.3534,0.739,0.1992,0.024
299,0.0259,-0.3534,0.7262,0.2121,0.0259
300,0.0246,-0.3534,0.739,0.2121,0.0246
301,0.0189,-0.3663,0.739,0.2121,0.0189
302,0.0273,-0.3534,0.7519,0.1992,0.0273
303,0.0047,-0.3663,0.739,0.2378,0.0047
304,0.0064,-0.3663,0.7262,0.2121,0.0064
305,0.0193,-0.3534,0.7262,0.2249,0.0193
306,0.0393,-0.3534,0.7262,0.2249,0.0393
307,0.032,-0.3534,0.739,0.2121,0.032
308,0.0433,-0.3663,0.7262,0.2249,0.0433
309,0.0229,-0.3792,0.739,0.2249,0.0229
310,0.0579,-0.3792,0.739,0.2121,0.0579
311,0.0467,-0.3534,0.739,0.2121,0.0467
312,0.0376,-0.3534,0.739,0.1992,0.0376
