[位置・速度],,,,,,,,
,,,,,,,,
"ファイル        , C:\Users\bcl\Documents\計測データ\227\Session005\Temp.AVI",,,,,,,,
"シーン数        ,   4001",,,,,,,,
"計測点数        ,      3",,,,,,,,
"コマ数／単位時間, 200.00/s, フレーム間隔, 0.01s",,,,,,,,
"計測インターバル, 1",,,,,,,,
"距離スケール    , 0.11cm/画素",,,,,,,,
"原点X           , 0.00",,,,,,,,
"原点Y           , 0.00",,,,,,,,
"回転角          , 0.00",,,,,,,,
"Y軸方向         , 1",,,,,,,,
,,,座標X,,,座標Y,,
 ,シーン,時間(s),計測点1,計測点2,計測点3,計測点1,計測点2,計測点3
,281,1.40,27.32,23.36,42.44,4.56,19.02,14.31
,282,1.41,27.37,23.44,42.35,4.60,19.09,14.32
,283,1.41,27.40,23.48,42.28,4.59,19.15,14.38
,284,1.42,27.39,23.46,42.30,4.61,19.22,14.47
,285,1.42,27.39,23.40,42.39,4.62,19.26,14.61
,286,1.43,27.35,23.30,42.53,4.62,19.33,14.82
,287,1.43,27.32,23.16,42.73,4.64,19.35,15.07
,288,1.44,27.28,23.00,42.97,4.64,19.37,15.38
,289,1.44,27.22,22.83,43.30,4.64,19.36,15.72
,290,1.45,27.14,22.66,43.65,4.63,19.36,16.15
,291,1.45,27.10,22.49,44.04,4.61,19.37,16.61
,292,1.46,27.02,22.33,44.41,4.61,19.35,17.12
,293,1.46,26.97,22.16,44.81,4.58,19.33,17.69
,294,1.47,26.90,22.00,45.16,4.54,19.29,18.29
,295,1.47,26.86,21.86,45.52,4.51,19.27,18.94
,296,1.48,26.81,21.75,45.82,4.48,19.23,19.63
,297,1.48,26.77,21.65,46.09,4.45,19.19,20.36
,298,1.49,26.72,21.61,46.34,4.38,19.12,21.11
,299,1.49,26.69,21.54,46.52,4.32,19.04,21.87
,300,1.50,26.69,21.54,46.67,4.26,18.96,22.72
,301,1.50,26.67,21.57,46.75,4.20,18.84,23.50
,302,1.51,26.67,21.61,46.79,4.13,18.71,24.35
,303,1.51,26.68,21.68,46.79,4.09,18.57,25.22
,304,1.52,26.70,21.80,46.72,4.01,18.45,26.07
,305,1.52,26.72,21.95,46.60,3.95,18.30,26.99
,306,1.53,26.79,22.13,46.44,3.89,18.17,27.83
,307,1.53,26.83,22.35,46.19,3.83,18.03,28.71
,308,1.54,26.90,22.58,45.88,3.79,17.91,29.55
,309,1.54,26.97,22.87,45.51,3.77,17.82,30.35
,310,1.54,27.03,23.13,45.03,3.73,17.74,31.18
,311,1.55,27.12,23.40,44.55,3.67,17.65,31.88
,312,1.55,27.21,23.65,43.97,3.66,17.58,32.58
,313,1.56,27.27,23.91,43.34,3.62,17.52,33.18
,314,1.56,27.34,24.14,42.71,3.61,17.48,33.67
,315,1.57,27.44,24.37,42.04,3.59,17.44,34.08
,316,1.58,27.53,24.57,41.40,3.58,17.43,34.39
,317,1.58,27.59,24.71,40.76,3.59,17.40,34.59
,318,1.59,27.66,24.80,40.14,3.62,17.43,34.71
,319,1.59,27.68,24.80,39.62,3.65,17.44,34.73
,320,1.60,27.71,24.72,39.11,3.68,17.51,34.67
,321,1.60,27.69,24.57,38.71,3.71,17.59,34.58
,322,1.61,27.65,24.35,38.42,3.74,17.72,34.44
,323,1.61,27.55,24.05,38.26,3.76,17.84,34.25
,324,1.62,27.43,23.76,38.21,3.79,17.96,34.07
