製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,
計測時ID ,12 ,
計測開始時刻 ,00/00/00 00:08 ,
サンプリング周波数 ,1000 ,
シーケンス数 ,     20000 ,
PGAゲイン ,x12 ,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,
コメント , ,
ファイル保存形式, 演算データ,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z 
       385,  -0.0286,   0.8804,   0.1092,  -1.0346
       386,   0.0096,   0.8676,   0.0964,  -1.0346
       387,   0.0028,   0.8418,   0.0964,  -1.0603
       388,   0.0107,   0.8547,   0.0964,  -1.0346
       389,   0.0372,   0.8290,   0.0835,  -1.0346
       390,   0.0490,   0.8161,   0.0964,  -1.0475
       391,   0.0134,   0.8033,   0.0964,  -1.0346
       392,  -0.0616,   0.8033,   0.1092,  -1.0603
       393,  -0.1349,   0.7776,   0.1092,  -1.0860
       394,  -0.1495,   0.7519,   0.0964,  -1.0732
       395,  -0.0310,   0.7647,   0.0835,  -1.0860
       396,   0.0402,   0.7519,   0.0835,  -1.0860
       397,   0.0404,   0.7133,   0.0964,  -1.0732
       398,   0.0144,   0.7005,   0.0964,  -1.0860
       399,   0.0525,   0.7005,   0.0964,  -1.0860
       400,   0.0654,   0.7005,   0.0964,  -1.0860
       401,   0.0243,   0.7005,   0.1092,  -1.0860
       402,  -0.0461,   0.7005,   0.0964,  -1.0732
       403,  -0.0650,   0.7005,   0.0964,  -1.0989
       404,  -0.0094,   0.6619,   0.1092,  -1.1118
       405,   0.0750,   0.6619,   0.1092,  -1.0860
       406,   0.0843,   0.6748,   0.1221,  -1.0732
       407,   0.0650,   0.6748,   0.1221,  -1.0989
       408,   0.0292,   0.6876,   0.1221,  -1.0989
       409,   0.0274,   0.6619,   0.1221,  -1.1118
       410,   0.0582,   0.6748,   0.1092,  -1.0732
       411,   0.0667,   0.6619,   0.1221,  -1.0860
       412,   0.0675,   0.6619,   0.1221,  -1.0989
       413,   0.0690,   0.6619,   0.1350,  -1.0860
       414,   0.1416,   0.6619,   0.1350,  -1.0989
       415,   0.1291,   0.6748,   0.1350,  -1.0989
       416,   0.1258,   0.6876,   0.1350,  -1.0860
       417,   0.0587,   0.7005,   0.1350,  -1.1118
       418,  -0.0131,   0.7390,   0.1350,  -1.0860
       419,  -0.0856,   0.7390,   0.1350,  -1.1118
       420,  -0.1562,   0.7262,   0.1607,  -1.0989
       421,  -0.2052,   0.7519,   0.1478,  -1.1118
       422,  -0.2599,   0.7519,   0.1607,  -1.1246
       423,  -0.2235,   0.7647,   0.1607,  -1.0989
       424,  -0.1958,   0.7904,   0.1607,  -1.1246
       425,  -0.1345,   0.7904,   0.1478,  -1.1118
       426,   0.0631,   0.8290,   0.1607,  -1.1375
       427,   0.2499,   0.8161,   0.1607,  -1.1375
       428,   0.3631,   0.8290,   0.1607,  -1.1246
       429,   0.3206,   0.8161,   0.1607,  -1.1375
       430,   0.2243,   0.8676,   0.1735,  -1.1632
       431,   0.1763,   0.8804,   0.1607,  -1.1503
       432,   0.1742,   0.8804,   0.1478,  -1.1760
       433,   0.2074,   0.9190,   0.1607,  -1.1632
       434,   0.1141,   0.9061,   0.1478,  -1.1889
       435,   0.0142,   0.9190,   0.1478,  -1.1632
       436,  -0.0130,   0.9318,   0.1735,  -1.2017
       437,  -0.0272,   0.9447,   0.1607,  -1.2017
       438,  -0.0666,   0.9447,   0.1735,  -1.2017
       439,  -0.0946,   0.9447,   0.1607,  -1.2146
       440,  -0.2159,   0.9575,   0.1735,  -1.2274
       441,  -0.2791,   0.9704,   0.1607,  -1.2274
