[位置・速度]

ファイル        , C:\Users\bcl\Documents\計測データ\227\Session004\Temp.AVI
シーン数        ,   4001
計測点数        ,      3
コマ数／単位時間, 200.00/s, フレーム間隔, 0.01s
計測インターバル, 1
距離スケール    , 0.11cm/画素
原点X           , 0.00
原点Y           , 0.00
回転角          , 0.00
Y軸方向         , 1
 ,         ,        , 座標X    ,         ,          , 座標Y   ,         ,          
 , シーン  , 時間(s), 計測点1  , 計測点2 , 計測点3  , 計測点1 , 計測点2 , 計測点3  
 ,      684,    3.42,     28.12,    28.77,     36.31,     4.72,    19.53,     39.22
 ,      685,    3.42,     28.07,    28.58,     36.43,     4.74,    19.56,     39.19
 ,      686,    3.43,     28.05,    28.43,     36.56,     4.74,    19.61,     39.19
 ,      687,    3.43,     27.98,    28.25,     36.71,     4.76,    19.66,     39.15
 ,      688,    3.44,     27.96,    28.07,     36.87,     4.76,    19.69,     39.10
 ,      689,    3.44,     27.93,    27.90,     37.04,     4.77,    19.72,     39.04
 ,      690,    3.45,     27.86,    27.72,     37.28,     4.79,    19.75,     38.96
 ,      691,    3.45,     27.84,    27.56,     37.45,     4.80,    19.78,     38.90
 ,      692,    3.46,     27.80,    27.36,     37.66,     4.80,    19.79,     38.81
 ,      693,    3.46,     27.76,    27.18,     37.91,     4.80,    19.82,     38.72
 ,      694,    3.46,     27.73,    27.00,     38.10,     4.80,    19.86,     38.60
 ,      695,    3.47,     27.69,    26.82,     38.36,     4.82,    19.89,     38.48
 ,      696,    3.48,     27.65,    26.63,     38.62,     4.81,    19.90,     38.35
 ,      697,    3.48,     27.61,    26.41,     38.89,     4.83,    19.90,     38.22
 ,      698,    3.48,     27.57,    26.26,     39.16,     4.82,    19.91,     38.05
 ,      699,    3.49,     27.53,    26.06,     39.42,     4.82,    19.93,     37.88
 ,      700,    3.50,     27.47,    25.85,     39.71,     4.82,    19.95,     37.69
 ,      701,    3.50,     27.42,    25.67,     39.99,     4.85,    19.98,     37.48
 ,      702,    3.50,     27.38,    25.48,     40.28,     4.85,    20.01,     37.27
 ,      703,    3.51,     27.30,    25.29,     40.57,     4.86,    20.02,     37.03
 ,      704,    3.52,     27.27,    25.09,     40.87,     4.88,    20.03,     36.79
 ,      705,    3.52,     27.21,    24.91,     41.16,     4.89,    20.09,     36.52
 ,      706,    3.52,     27.17,    24.74,     41.45,     4.90,    20.11,     36.25
 ,      707,    3.53,     27.11,    24.55,     41.76,     4.92,    20.12,     35.94
 ,      708,    3.54,     27.07,    24.38,     42.07,     4.93,    20.17,     35.62
 ,      709,    3.54,     27.01,    24.21,     42.34,     4.94,    20.18,     35.31
 ,      710,    3.54,     26.98,    24.06,     42.64,     4.95,    20.20,     34.95
 ,      711,    3.55,     26.96,    23.89,     42.92,     4.97,    20.20,     34.63
 ,      712,    3.56,     26.93,    23.75,     43.23,     4.98,    20.22,     34.23
 ,      713,    3.56,     26.89,    23.62,     43.49,     5.00,    20.21,     33.87
 ,      714,    3.56,     26.86,    23.49,     43.78,     5.00,    20.22,     33.49
 ,      715,    3.57,     26.85,    23.34,     44.04,     5.02,    20.23,     33.08
 ,      716,    3.58,     26.82,    23.22,     44.33,     5.04,    20.23,     32.69
 ,      717,    3.58,     26.80,    23.11,     44.57,     5.05,    20.24,     32.27
 ,      718,    3.59,     26.77,    23.00,     44.80,     5.07,    20.23,     31.85
 ,      719,    3.59,     26.76,    22.89,     45.05,     5.10,    20.24,     31.44
 ,      720,    3.60,     26.74,    22.79,     45.27,     5.09,    20.24,     31.01
 ,      721,    3.60,     26.73,    22.70,     45.49,     5.11,    20.24,     30.58
 ,      722,    3.61,     26.70,    22.59,     45.70,     5.13,    20.26,     30.13
 ,      723,    3.61,     26.68,    22.50,     45.89,     5.14,    20.27,     29.70
 ,      724,    3.62,     26.66,    22.40,     46.06,     5.14,    20.26,     29.27
 ,      725,    3.62,     26.65,    22.32,     46.25,     5.17,    20.28,     28.81
 ,      726,    3.63,     26.65,    22.24,     46.39,     5.17,    20.26,     28.39
 ,      727,    3.63,     26.64,    22.16,     46.55,     5.19,    20.27,     27.92
 ,      728,    3.64,     26.63,    22.09,     46.68,     5.19,    20.28,     27.50
 ,      729,    3.64,     26.63,    22.04,     46.81,     5.20,    20.28,     27.04
 ,      730,    3.65,     26.60,    21.96,     46.93,     5.21,    20.26,     26.59
 ,      731,    3.65,     26.62,    21.90,     47.02,     5.24,    20.25,     26.18
 ,      732,    3.66,     26.61,    21.85,     47.11,     5.25,    20.25,     25.74
 ,      733,    3.66,     26.62,    21.80,     47.15,     5.26,    20.24,     25.30
 ,      734,    3.67,     26.63,    21.77,     47.23,     5.28,    20.25,     24.88
 ,      735,    3.67,     26.63,    21.73,     47.27,     5.30,    20.24,     24.45
 ,      736,    3.68,     26.63,    21.71,     47.28,     5.30,    20.23,     24.04
 ,      737,    3.68,     26.63,    21.69,     47.33,     5.31,    20.22,     23.61
 ,      738,    3.69,     26.65,    21.68,     47.32,     5.33,    20.23,     23.19
 ,      739,    3.69,     26.66,    21.66,     47.31,     5.36,    20.24,     22.80
 ,      740,    3.70,     26.66,    21.68,     47.29,     5.37,    20.23,     22.40
 ,      741,    3.70,     26.68,    21.68,     47.26,     5.38,    20.23,     22.01
 ,      742,    3.71,     26.71,    21.68,     47.20,     5.40,    20.24,     21.60
 ,      743,    3.71,     26.74,    21.69,     47.15,     5.41,    20.26,     21.24
 ,      744,    3.71,     26.75,    21.73,     47.08,     5.42,    20.27,     20.84
 ,      745,    3.72,     26.78,    21.75,     46.99,     5.45,    20.27,     20.47
 ,      746,    3.73,     26.81,    21.80,     46.90,     5.47,    20.28,     20.11
 ,      747,    3.73,     26.85,    21.85,     46.80,     5.50,    20.29,     19.74
 ,      748,    3.73,     26.87,    21.91,     46.68,     5.50,    20.30,     19.40
 ,      749,    3.74,     26.90,    21.97,     46.56,     5.52,    20.30,     19.06
 ,      750,    3.75,     26.96,    22.04,     46.42,     5.53,    20.30,     18.73
 ,      751,    3.75,     26.98,    22.11,     46.30,     5.57,    20.31,     18.41
 ,      752,    3.75,     27.02,    22.20,     46.14,     5.59,    20.32,     18.08
 ,      753,    3.76,     27.08,    22.27,     45.98,     5.61,    20.31,     17.77
 ,      754,    3.77,     27.10,    22.39,     45.82,     5.63,    20.32,     17.47
 ,      755,    3.77,     27.17,    22.47,     45.63,     5.63,    20.32,     17.18
 ,      756,    3.77,     27.20,    22.57,     45.46,     5.65,    20.31,     16.91
 ,      757,    3.78,     27.23,    22.69,     45.26,     5.68,    20.32,     16.64
 ,      758,    3.79,     27.29,    22.79,     45.07,     5.70,    20.33,     16.39
 ,      759,    3.79,     27.32,    22.92,     44.87,     5.72,    20.32,     16.12
 ,      760,    3.79,     27.38,    23.04,     44.67,     5.73,    20.34,     15.87
 ,      761,    3.80,     27.42,    23.17,     44.46,     5.74,    20.34,     15.65
 ,      762,    3.81,     27.46,    23.30,     44.25,     5.75,    20.34,     15.43
 ,      763,    3.81,     27.51,    23.41,     44.03,     5.77,    20.35,     15.20
 ,      764,    3.81,     27.55,    23.53,     43.81,     5.79,    20.36,     14.99
 ,      765,    3.82,     27.62,    23.68,     43.59,     5.78,    20.35,     14.78
 ,      766,    3.83,     27.66,    23.82,     43.37,     5.81,    20.35,     14.58
 ,      767,    3.83,     27.71,    23.95,     43.15,     5.83,    20.36,     14.41
 ,      768,    3.84,     27.75,    24.06,     42.95,     5.85,    20.36,     14.23
 ,      769,    3.84,     27.78,    24.18,     42.72,     5.86,    20.36,     14.06
 ,      770,    3.85,     27.85,    24.34,     42.50,     5.88,    20.36,     13.89
 ,      771,    3.85,     27.87,    24.46,     42.31,     5.89,    20.37,     13.74
 ,      772,    3.86,     27.92,    24.58,     42.11,     5.90,    20.36,     13.59
 ,      773,    3.86,     27.96,    24.69,     41.94,     5.91,    20.38,     13.44
 ,      774,    3.87,     28.02,    24.81,     41.75,     5.93,    20.36,     13.32
 ,      775,    3.87,     28.05,    24.91,     41.59,     5.94,    20.35,     13.19
 ,      776,    3.88,     28.08,    24.98,     41.43,     5.95,    20.35,     13.05
 ,      777,    3.88,     28.11,    25.08,     41.28,     5.96,    20.35,     12.95
 ,      778,    3.89,     28.17,    25.16,     41.16,     5.94,    20.36,     12.85
 ,      779,    3.89,     28.18,    25.22,     41.06,     5.97,    20.34,     12.76
 ,      780,    3.90,     28.20,    25.27,     40.95,     5.97,    20.34,     12.67
 ,      781,    3.90,     28.22,    25.32,     40.86,     5.97,    20.33,     12.57
 ,      782,    3.91,     28.24,    25.36,     40.78,     5.97,    20.32,     12.51
 ,      783,    3.91,     28.28,    25.36,     40.73,     5.98,    20.31,     12.45
 ,      784,    3.92,     28.29,    25.36,     40.68,     5.98,    20.31,     12.37
 ,      785,    3.92,     28.28,    25.36,     40.69,     5.98,    20.28,     12.32
 ,      786,    3.93,     28.29,    25.34,     40.68,     5.98,    20.26,     12.30
 ,      787,    3.93,     28.28,    25.33,     40.69,     5.97,    20.25,     12.26
 ,      788,    3.94,     28.27,    25.27,     40.74,     5.97,    20.26,     12.24
 ,      789,    3.94,     28.26,    25.22,     40.79,     5.96,    20.24,     12.21
 ,      790,    3.95,     28.23,    25.17,     40.86,     5.96,    20.22,     12.22
 ,      791,    3.95,     28.21,    25.12,     40.96,     5.94,    20.21,     12.23
 ,      792,    3.96,     28.20,    25.04,     41.07,     5.92,    20.16,     12.24
 ,      793,    3.96,     28.18,    24.94,     41.19,     5.90,    20.14,     12.26
 ,      794,    3.97,     28.16,    24.87,     41.32,     5.89,    20.13,     12.28
 ,      795,    3.97,     28.14,    24.79,     41.47,     5.89,    20.12,     12.33
 ,      796,    3.98,     28.09,    24.70,     41.63,     5.85,    20.06,     12.37
 ,      797,    3.98,     28.08,    24.59,     41.82,     5.86,    20.03,     12.46
 ,      798,    3.98,     28.07,    24.51,     41.99,     5.83,    20.02,     12.53
 ,      799,    3.99,     28.06,    24.39,     42.18,     5.81,    20.00,     12.60
 ,      800,    4.00,     28.03,    24.28,     42.40,     5.79,    19.95,     12.70
 ,      801,    4.00,     27.99,    24.18,     42.61,     5.78,    19.92,     12.80
 ,      802,    4.00,     27.97,    24.09,     42.83,     5.77,    19.90,     12.91
 ,      803,    4.01,     27.97,    24.00,     43.04,     5.75,    19.89,     13.02
 ,      804,    4.01,     27.95,    23.90,     43.28,     5.72,    19.85,     13.18
 ,      805,    4.02,     27.95,    23.82,     43.53,     5.69,    19.81,     13.33
 ,      806,    4.03,     27.93,    23.72,     43.77,     5.67,    19.80,     13.46
 ,      807,    4.03,     27.92,    23.62,     44.02,     5.66,    19.77,     13.63
 ,      808,    4.04,     27.91,    23.54,     44.28,     5.63,    19.75,     13.82
 ,      809,    4.04,     27.90,    23.48,     44.53,     5.59,    19.73,     14.00
 ,      810,    4.04,     27.88,    23.40,     44.79,     5.59,    19.71,     14.20
 ,      811,    4.05,     27.87,    23.34,     45.05,     5.56,    19.68,     14.40
 ,      812,    4.05,     27.87,    23.28,     45.30,     5.53,    19.67,     14.61
 ,      813,    4.06,     27.86,    23.22,     45.55,     5.51,    19.66,     14.84
 ,      814,    4.07,     27.87,    23.17,     45.82,     5.48,    19.66,     15.08
 ,      815,    4.07,     27.86,    23.14,     46.07,     5.46,    19.64,     15.33
 ,      816,    4.08,     27.85,    23.09,     46.31,     5.43,    19.63,     15.56
 ,      817,    4.08,     27.86,    23.08,     46.58,     5.40,    19.61,     15.86
 ,      818,    4.09,     27.86,    23.05,     46.81,     5.38,    19.59,     16.11
 ,      819,    4.09,     27.87,    23.06,     47.04,     5.37,    19.58,     16.38
 ,      820,    4.09,     27.87,    23.05,     47.27,     5.34,    19.57,     16.69
 ,      821,    4.10,     27.87,    23.05,     47.49,     5.31,    19.58,     16.98
 ,      822,    4.11,     27.90,    23.06,     47.70,     5.30,    19.57,     17.29
 ,      823,    4.11,     27.91,    23.06,     47.90,     5.27,    19.57,     17.60
 ,      824,    4.12,     27.92,    23.06,     48.10,     5.24,    19.57,     17.92
 ,      825,    4.12,     27.94,    23.07,     48.30,     5.22,    19.58,     18.28
 ,      826,    4.13,     27.96,    23.08,     48.45,     5.22,    19.58,     18.59
 ,      827,    4.13,     27.96,    23.13,     48.64,     5.20,    19.61,     18.95
 ,      828,    4.13,     27.97,    23.17,     48.79,     5.18,    19.63,     19.29
 ,      829,    4.14,     27.99,    23.22,     48.91,     5.16,    19.64,     19.65
 ,      830,    4.15,     28.03,    23.26,     49.06,     5.16,    19.66,     20.04
 ,      831,    4.15,     28.04,    23.29,     49.19,     5.14,    19.67,     20.39
 ,      832,    4.16,     28.06,    23.37,     49.30,     5.13,    19.70,     20.79
 ,      833,    4.16,     28.08,    23.43,     49.38,     5.13,    19.72,     21.16
 ,      834,    4.17,     28.13,    23.50,     49.46,     5.12,    19.73,     21.58
 ,      835,    4.17,     28.16,    23.56,     49.53,     5.11,    19.77,     22.00
 ,      836,    4.17,     28.18,    23.67,     49.59,     5.11,    19.78,     22.38
 ,      837,    4.18,     28.24,    23.75,     49.63,     5.11,    19.82,     22.82
 ,      838,    4.19,     28.27,    23.83,     49.66,     5.10,    19.84,     23.24
 ,      839,    4.19,     28.29,    23.93,     49.66,     5.09,    19.85,     23.68
 ,      840,    4.20,     28.36,    24.04,     49.66,     5.09,    19.91,     24.12
 ,      841,    4.20,     28.39,    24.14,     49.65,     5.10,    19.91,     24.56
 ,      842,    4.21,     28.45,    24.25,     49.62,     5.10,    19.94,     25.01
 ,      843,    4.21,     28.49,    24.37,     49.56,     5.10,    19.96,     25.44
 ,      844,    4.21,     28.52,    24.48,     49.51,     5.10,    20.00,     25.89
 ,      845,    4.22,     28.59,    24.60,     49.44,     5.11,    20.03,     26.36
 ,      846,    4.22,     28.61,    24.73,     49.33,     5.12,    20.06,     26.80
 ,      847,    4.23,     28.68,    24.86,     49.23,     5.12,    20.08,     27.26
 ,      848,    4.24,     28.72,    24.99,     49.10,     5.12,    20.11,     27.70
 ,      849,    4.24,     28.78,    25.10,     48.98,     5.13,    20.14,     28.17
 ,      850,    4.25,     28.83,    25.26,     48.81,     5.13,    20.16,     28.64
 ,      851,    4.25,     28.89,    25.36,     48.67,     5.14,    20.19,     29.08
 ,      852,    4.25,     28.94,    25.51,     48.48,     5.14,    20.22,     29.53
 ,      853,    4.26,     28.98,    25.63,     48.33,     5.15,    20.21,     29.97
 ,      854,    4.26,     29.04,    25.78,     48.12,     5.14,    20.25,     30.40
 ,      855,    4.27,     29.09,    25.93,     47.91,     5.15,    20.26,     30.85
 ,      856,    4.28,     29.14,    26.06,     47.71,     5.15,    20.27,     31.26
 ,      857,    4.28,     29.20,    26.24,     47.48,     5.15,    20.28,     31.71
 ,      858,    4.29,     29.25,    26.39,     47.26,     5.15,    20.28,     32.11
 ,      859,    4.29,     29.30,    26.57,     47.01,     5.15,    20.28,     32.54
 ,      860,    4.29,     29.36,    26.74,     46.74,     5.15,    20.27,     32.95
 ,      861,    4.30,     29.42,    26.93,     46.50,     5.14,    20.29,     33.39
 ,      862,    4.30,     29.49,    27.13,     46.20,     5.16,    20.29,     33.80
 ,      863,    4.31,     29.54,    27.32,     45.93,     5.15,    20.27,     34.21
 ,      864,    4.32,     29.60,    27.51,     45.63,     5.16,    20.27,     34.59
 ,      865,    4.32,     29.66,    27.72,     45.30,     5.15,    20.26,     34.98
 ,      866,    4.33,     29.72,    27.91,     44.98,     5.16,    20.25,     35.35
 ,      867,    4.33,     29.79,    28.11,     44.61,     5.15,    20.25,     35.75
 ,      868,    4.34,     29.84,    28.29,     44.28,     5.15,    20.25,     36.08
 ,      869,    4.34,     29.92,    28.50,     43.89,     5.16,    20.26,     36.43
 ,      870,    4.34,     29.96,    28.68,     43.51,     5.15,    20.25,     36.76
 ,      871,    4.35,     30.02,    28.84,     43.12,     5.16,    20.25,     37.05
 ,      872,    4.36,     30.06,    29.03,     42.71,     5.15,    20.26,     37.37
 ,      873,    4.36,     30.11,    29.18,     42.33,     5.16,    20.28,     37.63
 ,      874,    4.37,     30.14,    29.35,     41.90,     5.17,    20.28,     37.91
 ,      875,    4.37,     30.18,    29.50,     41.49,     5.18,    20.28,     38.17
 ,      876,    4.38,     30.23,    29.64,     41.09,     5.18,    20.30,     38.42
 ,      877,    4.38,     30.25,    29.78,     40.67,     5.18,    20.31,     38.66
 ,      878,    4.38,     30.28,    29.90,     40.27,     5.20,    20.35,     38.90
 ,      879,    4.39,     30.30,    30.02,     39.89,     5.20,    20.37,     39.10
 ,      880,    4.40,     30.34,    30.13,     39.50,     5.21,    20.38,     39.31
 ,      881,    4.40,     30.35,    30.22,     39.17,     5.21,    20.38,     39.50
 ,      882,    4.41,     30.36,    30.31,     38.76,     5.20,    20.38,     39.71
 ,      883,    4.41,     30.36,    30.40,     38.45,     5.20,    20.38,     39.91
 ,      884,    4.42,     30.37,    30.48,     38.11,     5.21,    20.37,     40.10
 ,      885,    4.42,     30.37,    30.54,     37.79,     5.21,    20.37,     40.29
 ,      886,    4.42,     30.38,    30.58,     37.47,     5.21,    20.37,     40.44
 ,      887,    4.43,     30.38,    30.65,     37.18,     5.22,    20.37,     40.62
 ,      888,    4.44,     30.37,    30.66,     36.90,     5.21,    20.38,     40.77
 ,      889,    4.44,     30.37,    30.67,     36.64,     5.21,    20.38,     40.90
 ,      890,    4.45,     30.36,    30.66,     36.39,     5.22,    20.41,     41.02
 ,      891,    4.45,     30.36,    30.65,     36.14,     5.22,    20.43,     41.14
 ,      892,    4.46,     30.36,    30.63,     35.93,     5.24,    20.49,     41.24
 ,      893,    4.46,     30.35,    30.55,     35.76,     5.24,    20.53,     41.36
 ,      894,    4.46,     30.34,    30.52,     35.62,     5.26,    20.60,     41.45
 ,      895,    4.47,     30.32,    30.43,     35.47,     5.26,    20.66,     41.53
 ,      896,    4.48,     30.32,    30.33,     35.36,     5.29,    20.72,     41.62
 ,      897,    4.48,     30.29,    30.24,     35.27,     5.31,    20.80,     41.70
 ,      898,    4.49,     30.29,    30.13,     35.19,     5.32,    20.84,     41.79
 ,      899,    4.49,     30.25,    30.03,     35.13,     5.35,    20.90,     41.84
 ,      900,    4.50,     30.25,    29.91,     35.12,     5.36,    20.95,     41.90
 ,      901,    4.50,     30.21,    29.80,     35.10,     5.36,    21.00,     41.97
 ,      902,    4.50,     30.18,    29.68,     35.11,     5.41,    21.05,     42.01
 ,      903,    4.51,     30.14,    29.55,     35.12,     5.42,    21.10,     42.07
 ,      904,    4.51,     30.12,    29.43,     35.18,     5.45,    21.15,     42.09
 ,      905,    4.52,     30.08,    29.28,     35.18,     5.47,    21.20,     42.11
 ,      906,    4.53,     30.04,    29.13,     35.28,     5.51,    21.25,     42.12
 ,      907,    4.53,     30.01,    28.98,     35.33,     5.53,    21.30,     42.12
 ,      908,    4.54,     29.97,    28.83,     35.43,     5.54,    21.34,     42.12
 ,      909,    4.54,     29.92,    28.67,     35.56,     5.56,    21.39,     42.11
 ,      910,    4.54,     29.88,    28.53,     35.65,     5.57,    21.45,     42.09
 ,      911,    4.55,     29.84,    28.36,     35.79,     5.60,    21.50,     42.06
 ,      912,    4.55,     29.81,    28.19,     35.97,     5.61,    21.54,     42.00
 ,      913,    4.56,     29.74,    28.04,     36.12,     5.63,    21.58,     41.94
 ,      914,    4.57,     29.71,    27.88,     36.30,     5.64,    21.62,     41.87
 ,      915,    4.57,     29.67,    27.70,     36.50,     5.67,    21.67,     41.80
 ,      916,    4.58,     29.61,    27.56,     36.69,     5.68,    21.69,     41.68
 ,      917,    4.58,     29.57,    27.39,     36.88,     5.70,    21.74,     41.56
 ,      918,    4.59,     29.54,    27.23,     37.10,     5.72,    21.74,     41.43
 ,      919,    4.59,     29.49,    27.07,     37.34,     5.74,    21.79,     41.27
 ,      920,    4.59,     29.45,    26.90,     37.56,     5.76,    21.83,     41.11
 ,      921,    4.60,     29.38,    26.73,     37.80,     5.77,    21.85,     40.92
 ,      922,    4.61,     29.34,    26.56,     38.06,     5.79,    21.88,     40.73
 ,      923,    4.61,     29.29,    26.40,     38.34,     5.81,    21.92,     40.53
 ,      924,    4.62,     29.26,    26.25,     38.61,     5.83,    21.96,     40.27
 ,      925,    4.62,     29.18,    26.09,     38.91,     5.83,    21.98,     40.03
 ,      926,    4.63,     29.15,    25.92,     39.18,     5.86,    21.99,     39.77
 ,      927,    4.63,     29.09,    25.76,     39.47,     5.88,    22.01,     39.49
 ,      928,    4.63,     29.05,    25.62,     39.78,     5.89,    22.03,     39.22
 ,      929,    4.64,     29.00,    25.47,     40.08,     5.92,    22.04,     38.91
 ,      930,    4.65,     28.95,    25.33,     40.41,     5.95,    22.06,     38.55
 ,      931,    4.65,     28.91,    25.21,     40.71,     5.97,    22.07,     38.25
 ,      932,    4.66,     28.86,    25.04,     41.04,     6.00,    22.07,     37.86
 ,      933,    4.66,     28.83,    24.92,     41.33,     6.00,    22.06,     37.51
 ,      934,    4.67,     28.79,    24.79,     41.67,     6.01,    22.07,     37.13
 ,      935,    4.67,     28.75,    24.67,     41.99,     6.02,    22.07,     36.72
 ,      936,    4.67,     28.73,    24.55,     42.30,     6.04,    22.06,     36.32
 ,      937,    4.68,     28.71,    24.42,     42.62,     6.05,    22.05,     35.89
 ,      938,    4.69,     28.67,    24.29,     42.92,     6.05,    22.06,     35.46
 ,      939,    4.69,     28.62,    24.16,     43.22,     6.07,    22.06,     35.04
 ,      940,    4.70,     28.61,    24.05,     43.54,     6.10,    22.05,     34.57
 ,      941,    4.70,     28.59,    23.93,     43.82,     6.11,    22.06,     34.10
 ,      942,    4.71,     28.55,    23.83,     44.11,     6.13,    22.05,     33.64
 ,      943,    4.71,     28.54,    23.73,     44.38,     6.13,    22.05,     33.17
 ,      944,    4.71,     28.53,    23.61,     44.66,     6.14,    22.05,     32.70
 ,      945,    4.72,     28.50,    23.51,     44.91,     6.16,    22.05,     32.22
 ,      946,    4.73,     28.49,    23.42,     45.17,     6.17,    22.04,     31.74
 ,      947,    4.73,     28.48,    23.33,     45.40,     6.19,    22.01,     31.22
 ,      948,    4.74,     28.46,    23.25,     45.63,     6.18,    22.02,     30.76
 ,      949,    4.74,     28.44,    23.16,     45.84,     6.20,    22.01,     30.26
 ,      950,    4.75,     28.41,    23.06,     46.04,     6.19,    21.99,     29.78
 ,      951,    4.75,     28.39,    22.97,     46.24,     6.21,    21.97,     29.32
 ,      952,    4.75,     28.39,    22.88,     46.43,     6.21,    21.97,     28.80
 ,      953,    4.76,     28.37,    22.82,     46.59,     6.21,    21.97,     28.33
 ,      954,    4.76,     28.35,    22.73,     46.73,     6.22,    21.96,     27.88
 ,      955,    4.77,     28.33,    22.64,     46.89,     6.23,    21.93,     27.39
 ,      956,    4.78,     28.32,    22.61,     47.02,     6.24,    21.96,     26.92
 ,      957,    4.78,     28.30,    22.51,     47.13,     6.24,    21.94,     26.45
 ,      958,    4.79,     28.28,    22.46,     47.24,     6.24,    21.93,     26.02
 ,      959,    4.79,     28.28,    22.40,     47.32,     6.25,    21.94,     25.56
 ,      960,    4.79,     28.27,    22.34,     47.40,     6.27,    21.94,     25.11
 ,      961,    4.80,     28.27,    22.30,     47.47,     6.27,    21.96,     24.69
 ,      962,    4.80,     28.24,    22.26,     47.51,     6.28,    21.98,     24.25
 ,      963,    4.81,     28.26,    22.24,     47.55,     6.28,    21.99,     23.83
 ,      964,    4.82,     28.23,    22.21,     47.58,     6.30,    22.02,     23.42
 ,      965,    4.82,     28.22,    22.18,     47.58,     6.30,    22.04,     23.00
 ,      966,    4.83,     28.22,    22.18,     47.58,     6.33,    22.07,     22.62
 ,      967,    4.83,     28.22,    22.16,     47.58,     6.35,    22.09,     22.22
 ,      968,    4.84,     28.22,    22.17,     47.56,     6.36,    22.13,     21.85
 ,      969,    4.84,     28.21,    22.18,     47.54,     6.38,    22.14,     21.46
 ,      970,    4.84,     28.24,    22.16,     47.49,     6.39,    22.16,     21.09
 ,      971,    4.85,     28.24,    22.15,     47.45,     6.43,    22.19,     20.74
 ,      972,    4.86,     28.25,    22.16,     47.39,     6.44,    22.21,     20.38
 ,      973,    4.86,     28.26,    22.18,     47.33,     6.46,    22.24,     20.04
 ,      974,    4.87,     28.27,    22.20,     47.26,     6.49,    22.27,     19.69
 ,      975,    4.87,     28.28,    22.19,     47.18,     6.51,    22.28,     19.37
 ,      976,    4.88,     28.28,    22.23,     47.09,     6.53,    22.31,     19.04
 ,      977,    4.88,     28.29,    22.27,     46.99,     6.55,    22.34,     18.73
 ,      978,    4.88,     28.30,    22.30,     46.88,     6.59,    22.35,     18.41
 ,      979,    4.89,     28.31,    22.31,     46.78,     6.61,    22.37,     18.11
 ,      980,    4.90,     28.32,    22.35,     46.66,     6.62,    22.38,     17.83
 ,      981,    4.90,     28.35,    22.40,     46.52,     6.65,    22.39,     17.54
 ,      982,    4.91,     28.34,    22.44,     46.38,     6.67,    22.39,     17.25
 ,      983,    4.91,     28.37,    22.45,     46.25,     6.70,    22.40,     16.99
 ,      984,    4.92,     28.38,    22.51,     46.09,     6.71,    22.44,     16.73
 ,      985,    4.92,     28.39,    22.54,     45.94,     6.73,    22.43,     16.47
 ,      986,    4.92,     28.39,    22.60,     45.77,     6.74,    22.46,     16.21
 ,      987,    4.93,     28.39,    22.65,     45.61,     6.76,    22.47,     15.99
 ,      988,    4.94,     28.42,    22.69,     45.45,     6.78,    22.45,     15.77
 ,      989,    4.94,     28.43,    22.74,     45.28,     6.80,    22.47,     15.53
 ,      990,    4.95,     28.45,    22.79,     45.10,     6.81,    22.44,     15.33
 ,      991,    4.95,     28.47,    22.83,     44.93,     6.81,    22.43,     15.12
 ,      992,    4.96,     28.48,    22.88,     44.74,     6.81,    22.40,     14.91
 ,      993,    4.96,     28.49,    22.93,     44.57,     6.81,    22.40,     14.73
 ,      994,    4.96,     28.49,    22.99,     44.39,     6.83,    22.38,     14.54
 ,      995,    4.97,     28.51,    23.05,     44.20,     6.82,    22.36,     14.37
 ,      996,    4.98,     28.52,    23.10,     44.02,     6.82,    22.36,     14.20
 ,      997,    4.98,     28.54,    23.15,     43.83,     6.81,    22.33,     14.03
 ,      998,    4.99,     28.56,    23.23,     43.66,     6.81,    22.29,     13.89
 ,      999,    4.99,     28.58,    23.27,     43.47,     6.80,    22.28,     13.73
 ,     1000,    5.00,     28.60,    23.32,     43.28,     6.81,    22.26,     13.59
 ,     1001,    5.00,     28.63,    23.38,     43.10,     6.80,    22.23,     13.46
 ,     1002,    5.00,     28.64,    23.43,     42.94,     6.80,    22.19,     13.35
 ,     1003,    5.01,     28.66,    23.49,     42.75,     6.78,    22.15,     13.22
 ,     1004,    5.01,     28.70,    23.55,     42.58,     6.77,    22.13,     13.12
 ,     1005,    5.02,     28.72,    23.61,     42.40,     6.76,    22.13,     13.01
 ,     1006,    5.03,     28.73,    23.65,     42.26,     6.75,    22.10,     12.94
 ,     1007,    5.03,     28.76,    23.70,     42.10,     6.74,    22.04,     12.84
 ,     1008,    5.04,     28.80,    23.76,     41.97,     6.72,    22.03,     12.78
 ,     1009,    5.04,     28.83,    23.79,     41.83,     6.72,    22.00,     12.73
 ,     1010,    5.04,     28.85,    23.84,     41.71,     6.71,    21.94,     12.67
 ,     1011,    5.05,     28.86,    23.86,     41.59,     6.69,    21.92,     12.61
 ,     1012,    5.05,     28.87,    23.89,     41.47,     6.68,    21.90,     12.57
 ,     1013,    5.06,     28.89,    23.93,     41.38,     6.67,    21.87,     12.54
 ,     1014,    5.07,     28.90,    23.93,     41.30,     6.67,    21.85,     12.51
 ,     1015,    5.07,     28.92,    23.94,     41.21,     6.67,    21.81,     12.49
 ,     1016,    5.08,     28.93,    23.95,     41.16,     6.66,    21.77,     12.47
 ,     1017,    5.08,     28.93,    23.94,     41.09,     6.63,    21.76,     12.46
