製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,
計測時ID ,3,,,,
計測開始時刻 ,2018/2/27 11:49,,,,
サンプリング周波数 ,1000,,,,
シーケンス数 ,20000,,,,
PGAゲイン ,x12 ,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,
コメント , ,,,,
ファイル保存形式, 演算データ,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,
145,0.0417,-0.6748,0.5719,-0.2635,0.0417
146,0.0296,-0.6619,0.5719,-0.302,0.0296
147,0.0325,-0.6619,0.5719,-0.2892,0.0325
148,0.0332,-0.6748,0.5719,-0.2892,0.0332
149,0.0229,-0.6491,0.5591,-0.2763,0.0229
150,0.0142,-0.6619,0.5719,-0.2892,0.0142
151,0.031,-0.6619,0.5719,-0.2892,0.031
152,0.0343,-0.6748,0.5848,-0.2635,0.0343
153,0.0177,-0.6619,0.5719,-0.302,0.0177
154,0.0159,-0.6619,0.5719,-0.2763,0.0159
155,-0.0031,-0.6748,0.5719,-0.2763,0.0031
156,0.0045,-0.6748,0.5591,-0.2892,0.0045
157,0.0138,-0.6876,0.5719,-0.2892,0.0138
158,0.0141,-0.6619,0.5719,-0.2892,0.0141
159,0.0197,-0.6748,0.5719,-0.2763,0.0197
160,0.0464,-0.6619,0.5719,-0.2763,0.0464
161,0.0568,-0.7005,0.5591,-0.2892,0.0568
162,0.0357,-0.6876,0.5591,-0.2892,0.0357
163,0.0295,-0.6876,0.5462,-0.2892,0.0295
164,0.0163,-0.6619,0.5719,-0.2763,0.0163
165,0.0212,-0.6619,0.5719,-0.2763,0.0212
166,0.0094,-0.6748,0.5591,-0.2635,0.0094
167,-0.0032,-0.6748,0.5591,-0.2635,0.0032
168,-0.0017,-0.6876,0.5719,-0.2635,0.0017
169,-0.0015,-0.6876,0.5591,-0.2763,0.0015
170,-0.0141,-0.6876,0.5719,-0.2763,0.0141
171,0.0048,-0.6876,0.5719,-0.2635,0.0048
172,-0.0009,-0.6876,0.5719,-0.2892,0.0009
173,0.0053,-0.6748,0.5591,-0.2635,0.0053
174,-0.003,-0.6876,0.5719,-0.2635,0.003
175,-0.0062,-0.6876,0.5719,-0.2635,0.0062
176,0.0042,-0.6876,0.5591,-0.2763,0.0042
177,0.0163,-0.6748,0.5719,-0.2763,0.0163
178,0.0133,-0.6234,0.5591,-0.2763,0.0133
179,-0.0064,-0.6876,0.5719,-0.2763,0.0064
180,0.0162,-0.6748,0.5591,-0.2892,0.0162
181,0.0156,-0.6748,0.5591,-0.2763,0.0156
182,0.0331,-0.6876,0.5591,-0.2763,0.0331
183,0.0398,-0.6876,0.5848,-0.2763,0.0398
184,0.0243,-0.6876,0.5719,-0.2892,0.0243
185,0.028,-0.6748,0.5719,-0.2635,0.028
186,0.0164,-0.6748,0.5719,-0.2892,0.0164
187,0.0364,-0.6748,0.5591,-0.2763,0.0364
188,0.0404,-0.6876,0.5591,-0.2635,0.0404
189,0.0398,-0.6748,0.5591,-0.2892,0.0398
190,0.0375,-0.6748,0.5719,-0.2635,0.0375
191,0.0437,-0.6748,0.5719,-0.2892,0.0437
192,0.053,-0.6876,0.5591,-0.2763,0.053
193,0.0493,-0.6876,0.5591,-0.2635,0.0493
194,0.0439,-0.6876,0.5719,-0.2892,0.0439
195,0.0554,-0.6748,0.5719,-0.2892,0.0554
196,0.0565,-0.6876,0.5591,-0.302,0.0565
197,0.0453,-0.6748,0.5719,-0.302,0.0453
198,0.0595,-0.6748,0.5591,-0.2763,0.0595
199,0.039,-0.6748,0.5719,-0.2763,0.039
200,0.0541,-0.6876,0.5848,-0.2892,0.0541
201,0.0431,-0.6876,0.5719,-0.2635,0.0431
202,0.0593,-0.6748,0.5591,-0.2635,0.0593
203,0.0378,-0.6876,0.5591,-0.2763,0.0378
204,0.0594,-0.6748,0.5591,-0.2892,0.0594
205,0.0537,-0.6876,0.5719,-0.2635,0.0537
206,0.034,-0.6748,0.5719,-0.2635,0.034
207,0.0285,-0.6876,0.5848,-0.2763,0.0285
208,0.036,-0.6876,0.5719,-0.2763,0.036
209,0.0382,-0.6876,0.5848,-0.2892,0.0382
210,0.0428,-0.6876,0.5591,-0.302,0.0428
211,0.0424,-0.6748,0.5719,-0.2892,0.0424
212,0.0654,-0.6748,0.5719,-0.2635,0.0654
213,0.039,-0.6748,0.5719,-0.2892,0.039
214,0.0382,-0.6876,0.5848,-0.2763,0.0382
215,0.0508,-0.6748,0.5719,-0.2506,0.0508
216,0.0525,-0.6748,0.5848,-0.2506,0.0525
217,0.042,-0.6748,0.5719,-0.2763,0.042
218,0.0352,-0.6748,0.5591,-0.2635,0.0352
219,0.0404,-0.6619,0.5719,-0.2763,0.0404
220,0.0523,-0.6619,0.5719,-0.2763,0.0523
221,0.0319,-0.6876,0.5719,-0.2892,0.0319
222,0.017,-0.6876,0.5719,-0.2635,0.017
223,0.0272,-0.6876,0.5719,-0.2763,0.0272
224,0.0327,-0.6876,0.5848,-0.2635,0.0327
225,0.019,-0.6748,0.5591,-0.2763,0.019
226,0.0223,-0.6748,0.5719,-0.2763,0.0223
227,0.0137,-0.6748,0.5591,-0.2763,0.0137
228,0.0316,-0.6748,0.5719,-0.2892,0.0316
229,0.032,-0.6748,0.5719,-0.2763,0.032
230,0.0252,-0.6748,0.5719,-0.2892,0.0252
231,0.0182,-0.6876,0.5848,-0.2506,0.0182
232,0.0322,-0.6876,0.5719,-0.2763,0.0322
233,0.0284,-0.6748,0.5719,-0.2635,0.0284
234,0.0265,-0.6619,0.5591,-0.2892,0.0265
235,0.0177,-0.6748,0.5848,-0.302,0.0177
236,0.0248,-0.6619,0.5719,-0.2763,0.0248
237,0.0136,-0.6876,0.5719,-0.2892,0.0136
238,0.039,-0.6876,0.5719,-0.2763,0.039
239,0.0382,-0.6876,0.5719,-0.2763,0.0382
240,0.0207,-0.7005,0.5719,-0.2635,0.0207
241,0.0119,-0.6748,0.5719,-0.302,0.0119
242,0.032,-0.6748,0.5719,-0.2892,0.032
243,0.0289,-0.6619,0.5719,-0.2635,0.0289
244,0.0221,-0.6748,0.5591,-0.2763,0.0221
245,0.0275,-0.6748,0.5719,-0.2763,0.0275
246,0.0298,-0.6748,0.5719,-0.2763,0.0298
247,0.0429,-0.6876,0.5719,-0.2635,0.0429
248,0.0163,-0.6748,0.5719,-0.302,0.0163
249,0.0171,-0.6748,0.5591,-0.2892,0.0171
250,0.0222,-0.6748,0.5591,-0.2892,0.0222
251,0.0166,-0.6876,0.5591,-0.2635,0.0166
252,0.0201,-0.6876,0.5591,-0.2506,0.0201
253,0.0248,-0.6748,0.5591,-0.2892,0.0248
254,0.0349,-0.7005,0.5591,-0.2763,0.0349
255,0.0383,-0.6876,0.5719,-0.2763,0.0383
256,0.033,-0.6619,0.5719,-0.2763,0.033
257,0.0289,-0.6876,0.5591,-0.2763,0.0289
258,0.0349,-0.6748,0.5591,-0.2635,0.0349
259,0.036,-0.6748,0.5591,-0.2506,0.036
260,0.0273,-0.6748,0.5591,-0.2635,0.0273
261,0.0416,-0.6748,0.5719,-0.2763,0.0416
262,0.0491,-0.6876,0.5848,-0.2763,0.0491
263,0.0313,-0.6619,0.5591,-0.2763,0.0313
264,0.0331,-0.6748,0.5591,-0.2892,0.0331
265,0.027,-0.6619,0.5462,-0.3149,0.027
266,0.0211,-0.6619,0.5591,-0.2892,0.0211
267,0.0203,-0.6619,0.5719,-0.2635,0.0203
268,0.0159,-0.6748,0.5591,-0.2763,0.0159
269,0.0307,-0.6876,0.5719,-0.2892,0.0307
270,0.0138,-0.6748,0.5719,-0.2635,0.0138
271,0.0136,-0.6748,0.5591,-0.2892,0.0136
272,0.0226,-0.6748,0.5719,-0.2635,0.0226
273,0.0085,-0.6619,0.5719,-0.2506,0.0085
274,0.0261,-0.6619,0.5591,-0.2763,0.0261
275,0.0163,-0.6748,0.5719,-0.2892,0.0163
276,0.0292,-0.6748,0.5719,-0.2635,0.0292
277,0.0237,-0.6748,0.5719,-0.2763,0.0237
278,0.0338,-0.5976,0.5719,-0.2506,0.0338
279,0.045,-0.6748,0.5719,-0.2763,0.045
280,0.0511,-0.6748,0.5719,-0.2763,0.0511
281,0.0305,-0.6619,0.5719,-0.2635,0.0305
282,0.0302,-0.6748,0.5719,-0.2763,0.0302
283,0.0368,-0.6748,0.5719,-0.2892,0.0368
284,0.0346,-0.6619,0.5719,-0.2635,0.0346
285,0.0363,-0.6876,0.5591,-0.2763,0.0363
286,0.0314,-0.6876,0.5719,-0.2763,0.0314
287,0.0331,-0.6748,0.5591,-0.2763,0.0331
288,0.0335,-0.6105,0.5848,-0.2763,0.0335
289,0.0387,-0.6748,0.5591,-0.302,0.0387
290,0.035,-0.6748,0.5591,-0.2506,0.035
291,0.017,-0.6876,0.5591,-0.2763,0.017
292,0.0164,-0.6876,0.5719,-0.2892,0.0164
293,0.0221,-0.6748,0.5719,-0.2506,0.0221
294,0.0239,-0.6748,0.5848,-0.2635,0.0239
295,0.0184,-0.6876,0.5719,-0.2378,0.0184
296,0.0339,-0.6748,0.5719,-0.2635,0.0339
297,0.0228,-0.6876,0.5591,-0.2892,0.0228
298,0.0212,-0.6876,0.5719,-0.2763,0.0212
299,0.0153,-0.6876,0.5719,-0.2763,0.0153
300,0.0248,-0.6876,0.5719,-0.2763,0.0248
301,0.0469,-0.6876,0.5591,-0.2763,0.0469
302,0.0424,-0.7005,0.5591,-0.2763,0.0424
303,0.0322,-0.7005,0.5719,-0.2763,0.0322
304,0.0252,-0.6748,0.5462,-0.2892,0.0252
305,0.0281,-0.6748,0.5591,-0.2635,0.0281
306,0.0368,-0.6876,0.5719,-0.2635,0.0368
307,0.0241,-0.6876,0.5719,-0.2763,0.0241
308,0.0295,-0.6876,0.5719,-0.2892,0.0295
309,0.0322,-0.6876,0.5719,-0.2635,0.0322
310,0.0285,-0.6748,0.5848,-0.2635,0.0285
311,0.0042,-0.6748,0.5591,-0.2892,0.0042
312,0.0196,-0.6876,0.5719,-0.2506,0.0196
313,0.0149,-0.6748,0.5591,-0.2763,0.0149
314,0.0127,-0.6876,0.5719,-0.2635,0.0127
315,0.0045,-0.7005,0.5591,-0.2763,0.0045
316,0.0229,-0.6876,0.5591,-0.2506,0.0229
317,0.0127,-0.6876,0.5719,-0.2763,0.0127
318,0.0043,-0.6876,0.5591,-0.2892,0.0043
319,0.0112,-0.6876,0.5462,-0.2635,0.0112
320,0.0131,-0.6876,0.5591,-0.2506,0.0131
321,0.0357,-0.6748,0.5591,-0.2635,0.0357
322,0.042,-0.6876,0.5591,-0.2506,0.042
323,0.0264,-0.6876,0.5719,-0.2635,0.0264
324,0.032,-0.6876,0.5719,-0.2506,0.032
325,0.0422,-0.6876,0.5591,-0.2635,0.0422
326,0.0314,-0.6748,0.5719,-0.2892,0.0314
327,0.013,-0.6876,0.5591,-0.2763,0.013
328,0.0323,-0.6748,0.5719,-0.2763,0.0323
329,0.0338,-0.6876,0.5719,-0.2892,0.0338
330,0.061,-0.6876,0.5719,-0.2763,0.061
331,0.0426,-0.6876,0.5719,-0.2763,0.0426
332,0.0481,-0.6876,0.5719,-0.2635,0.0481
333,0.0341,-0.6491,0.5591,-0.2763,0.0341
334,0.0319,-0.6748,0.5591,-0.302,0.0319
335,0.0265,-0.6748,0.5719,-0.302,0.0265
336,0.0277,-0.6876,0.5719,-0.2763,0.0277
337,0.033,-0.6748,0.5719,-0.2763,0.033
338,0.0382,-0.6876,0.5719,-0.2763,0.0382
339,0.0218,-0.6748,0.5719,-0.2378,0.0218
340,0.0397,-0.6748,0.5719,-0.2506,0.0397
341,0.0393,-0.6876,0.5719,-0.2892,0.0393
342,0.0313,-0.6748,0.5719,-0.2635,0.0313
343,0.0294,-0.6748,0.5591,-0.2635,0.0294
344,0.0253,-0.6748,0.5591,-0.2763,0.0253
345,0.0259,-0.6748,0.5719,-0.2763,0.0259
346,0.0235,-0.6748,0.5719,-0.2763,0.0235
347,0.0157,-0.6876,0.5591,-0.2506,0.0157
348,0.0034,-0.6876,0.5719,-0.2635,0.0034
349,0.0305,-0.6748,0.5462,-0.2763,0.0305
